all_sz_list,所属行业,自选
000001,J 金融业,
000002,K 房地产,
000004,I 信息技术,
000005,N 公共环保,
000006,K 房地产,
000007,K 房地产,
000008,C 制造业,
000009,S 综合,
000010,E 建筑业,
000011,K 房地产,
000012,C 制造业,
000014,K 房地产,
000016,C 制造业,
000017,C 制造业,
000019,F 批发零售,
000020,C 制造业,
000021,C 制造业,
000023,C 制造业,
000025,F 批发零售,
000026,F 批发零售,
000027,D 水电煤气,
000028,F 批发零售,
000029,K 房地产,
000030,C 制造业,
000031,K 房地产,
000032,E 建筑业,
000034,F 批发零售,
000035,N 公共环保,
000036,K 房地产,
000037,D 水电煤气,
000038,L 商务服务,
000039,C 制造业,
000040,D 水电煤气,
000042,K 房地产,
000045,C 制造业,
000046,J 金融业,
000048,C 制造业,
000049,C 制造业,
000050,C 制造业,
000055,C 制造业,
000056,L 商务服务,
000058,L 商务服务,
000059,C 制造业,
000060,C 制造业,
000061,L 商务服务,
000062,F 批发零售,
000063,C 制造业,
000065,E 建筑业,
000066,C 制造业,
000068,M 科研服务,
000069,K 房地产,
000070,C 制造业,
000078,F 批发零售,
000088,G 运输仓储,
000089,G 运输仓储,
000090,E 建筑业,
000096,F 批发零售,
000099,G 运输仓储,
000100,C 制造业,
000150,Q 卫生,
000151,F 批发零售,
000153,C 制造业,
000155,D 水电煤气,
000156,R 文化传播,
000157,C 制造业,
000158,I 信息技术,
000159,F 批发零售,
000166,J 金融业,
000301,C 制造业,
000333,C 制造业,
000338,C 制造业,
000400,C 制造业,
000401,C 制造业,
000402,K 房地产,
000403,C 制造业,
000404,C 制造业,
000407,D 水电煤气,
000408,C 制造业,
000409,I 信息技术,
000410,C 制造业,
000411,F 批发零售,
000413,C 制造业,
000415,L 商务服务,
000416,J 金融业,
000417,F 批发零售,
000419,F 批发零售,
000420,C 制造业,
000421,D 水电煤气,
000422,C 制造业,
000423,C 制造业,
000425,C 制造业,
000426,B 采矿业,
000428,H 住宿餐饮,
000429,G 运输仓储,
000430,N 公共环保,
000488,C 制造业,
000498,E 建筑业,
000501,F 批发零售,
000503,I 信息技术,
000504,M 科研服务,
000505,C 制造业,
000506,B 采矿业,
000507,G 运输仓储,
000509,Q 卫生,
000510,C 制造业,
000513,C 制造业,
000514,K 房地产,
000516,Q 卫生,
000517,K 房地产,
000518,C 制造业,
000519,C 制造业,
000520,G 运输仓储,
000521,C 制造业,
000523,C 制造业,
000524,L 商务服务,
000525,C 制造业,
000526,P 教育,
000528,C 制造业,
000529,C 制造业,
000530,C 制造业,
000531,D 水电煤气,
000532,S 综合,
000533,C 制造业,
000534,C 制造业,
000536,C 制造业,
000537,K 房地产,
000538,C 制造业,
000539,D 水电煤气,
000540,K 房地产,
000541,C 制造业,
000543,D 水电煤气,
000544,D 水电煤气,
000545,C 制造业,
000546,N 公共环保,
000547,C 制造业,
000548,G 运输仓储,
000550,C 制造业,
000551,S 综合,
000552,B 采矿业,
000553,C 制造业,
000554,F 批发零售,
000555,I 信息技术,
000557,G 运输仓储,
000558,K 房地产,
000559,C 制造业,
000560,K 房地产,
000561,C 制造业,
000563,J 金融业,
000564,F 批发零售,
000565,C 制造业,
000566,C 制造业,
000567,J 金融业,
000568,C 制造业,
000570,C 制造业,
000571,S 综合,
000572,C 制造业,
000573,K 房地产,
000576,C 制造业,
000581,C 制造业,
000582,G 运输仓储,
000584,C 制造业,
000586,C 制造业,
000587,C 制造业,
000589,C 制造业,
000590,C 制造业,
000591,D 水电煤气,
000592,A 农林牧渔,
000593,D 水电煤气,
000595,C 制造业,
000596,C 制造业,
000597,C 制造业,
000598,D 水电煤气,
000599,C 制造业,
000600,D 水电煤气,
000601,D 水电煤气,
000603,B 采矿业,
000605,D 水电煤气,
000606,I 信息技术,
000607,R 文化传播,
000608,K 房地产,
000609,S 综合,
000610,N 公共环保,
000612,C 制造业,
000615,K 房地产,
000616,K 房地产,
000617,J 金融业,
000619,C 制造业,
000620,K 房地产,
000622,C 制造业,
000623,C 制造业,
000625,C 制造业,
000626,F 批发零售,
000627,J 金融业,
000628,E 建筑业,
000629,C 制造业,
000630,C 制造业,
000631,K 房地产,
000632,F 批发零售,
000633,C 制造业,
000635,C 制造业,
000636,C 制造业,
000637,C 制造业,
000638,I 信息技术,
000639,C 制造业,
000650,C 制造业,
000651,C 制造业,
000652,F 批发零售,
000655,B 采矿业,
000656,K 房地产,
000657,C 制造业,
000659,C 制造业,
000661,C 制造业,
000663,C 制造业,
000665,R 文化传播,
000666,J 金融业,
000667,K 房地产,
000668,K 房地产,
000669,D 水电煤气,
000670,C 制造业,
000671,K 房地产,
000672,C 制造业,
000676,I 信息技术,
000677,C 制造业,
000678,C 制造业,
000679,F 批发零售,
000680,C 制造业,
000681,R 文化传播,
000682,I 信息技术,
000683,C 制造业,
000685,D 水电煤气,
000686,J 金融业,
000688,B 采矿业,
000690,D 水电煤气,
000691,C 制造业,
000692,D 水电煤气,
000695,C 制造业,
000697,C 制造业,
000698,C 制造业,
000700,C 制造业,
000701,F 批发零售,
000702,C 制造业,
000703,C 制造业,
000705,F 批发零售,
000707,C 制造业,
000708,C 制造业,
000709,C 制造业,
000710,M 科研服务,
000711,E 建筑业,
000712,J 金融业,
000713,A 农林牧渔,
000715,F 批发零售,
